Spectrum Number,Segment Number,Baseline Order,Pressure,Temperature,x_shift,molefraction_CO2,baseline_a
1,1,0,0.0010000000000000002,298.0,0.0,0.00039999999999999996,0.0
2,1,0,0.009999999999999901,298.0,0.0,0.00039999999999999996,0.0
3,1,0,0.1,298.0,0.0,0.00039999999999999996,0.0
4,1,0,0.25,298.0,0.0,0.00039999999999999996,0.0
5,1,0,0.75,298.0,0.0,0.00039999999999999996,0.0
6,1,0,0.0010000000000000002,298.0,0.0,0.1,0.0
7,1,0,0.009999999999999901,298.0,0.0,0.1,0.0
8,1,0,0.1,298.0,0.0,0.1,0.0
9,1,0,0.25,298.0,0.0,0.1,0.0
10,1,0,0.75,298.0,0.0,0.1,0.0
11,1,0,0.0010000000000000002,298.0,0.0,1.0,0.0
12,1,0,0.009999999999999901,298.0,0.0,1.0,0.0
13,1,0,0.1,298.0,0.0,1.0,0.0
14,1,0,0.25,298.0,0.0,1.0,0.0
15,1,0,0.75,298.0,0.0,1.0,0.0
