,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air,y_air_err,y_air_vary,n_y_air
0,7,1,1635.1109,12949.28637,0,False,0.00301,0,False,1e-24,0.0507,0,False,0.73,-0.0071,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
1,7,1,2012.89,12952.72,0,False,0.00342,0,False,1e-24,0.03,0,False,0.63,-0.01,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
2,7,1,1600.1301,12954.06936,0,False,0.0032,0,False,1e-24,0.053,0,False,0.74,-0.0071,0,False,0.0,0,0,False,1,0.082373371,0,False,0.74,0,0,False,0,0,0,False,0.0,0,False,1.0
3,7,1,2011.21,12954.4,0,False,0.00333,0,False,1e-24,0.03,0,False,0.63,-0.01,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
4,7,1,544.8622,12955.16611,0,False,5.86e-06,0,False,1e-24,0.0434,0,False,0.65,-0.0078,0,False,0.0,0,0,False,1,0.11088723,0,False,0.65,0,0,False,0,0,0,False,0.0,0,False,1.0
5,7,1,1598.1157,12956.08378,0,False,0.00253,0,False,1e-24,0.053,0,False,0.72,-0.00645,0,False,0.0,0,0,False,1,0.088709784,0,False,0.72,0,0,False,0,0,0,False,0.0,0,False,1.0
6,7,1,1574.5401,12960.43977,0,False,0.00242,0,False,1e-24,0.0563,0,False,0.7,-0.0056,0,False,0.0,0,0,False,1,0.095046197,0,False,0.7,0,0,False,0,0,0,False,0.0,0,False,1.0
7,7,1,1572.4545,12962.5254,0,False,0.00165,0,False,1e-24,0.0563,0,False,0.71,-0.0097,0,False,5e-05,0,0,False,1,0.1,0,False,0.71,0,0,False,0,0,0,False,0.0,0,False,1.0
8,7,1,1804.87,12965.11,0,False,0.00889,0,False,1e-24,0.03,0,False,0.63,-0.0097,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.011486,0,False,11.02983704
9,7,1,1560.3221,12966.42018,0,False,0.0013,0,False,1e-24,0.0615,0,False,0.72,-0.0052,0,False,0.0,0,0,False,1,0.088709784,0,False,0.72,0,0,False,0,0,0,False,0.0,0,False,1.0
10,7,1,1803.17,12966.81,0,False,0.00863,0,False,1e-24,0.03,0,False,0.63,-0.0096,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.010002,0,False,11.05334543
11,7,3,1752.6762,12970.80982,0,False,4.4e-06,0,False,1e-24,0.0278,0,False,0.63,-0.0097,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
12,7,3,1750.9674,12972.51861,0,False,4.2800000000000005e-06,0,False,1e-24,0.0278,0,False,0.63,-0.0096,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
13,7,1,1560.3221,12974.65777,0,False,0.000649,0,False,1e-24,0.0563,0,False,0.71,-0.005,0,False,0.0,0,0,False,1,0.09187799,0,False,0.71,0,0,False,0,0,0,False,0.0,0,False,1.0
14,7,1,438.701,12975.23029,0,False,8.83e-06,0,False,1e-24,0.0447,0,False,0.65,-0.0074,0,False,0.0,0,0,False,1,0.11088723,0,False,0.65,0,0,False,0,0,0,False,0.0,0,False,1.0
15,7,2,1705.8516,12975.869,0,False,2.67e-05,0,False,1e-24,0.0278,0,False,0.63,-0.0097,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
16,7,1,1558.437,12976.54288,0,False,0.00151,0,False,1e-24,0.0563,0,False,0.71,-0.0051,0,False,0.0,0,0,False,1,0.09187799,0,False,0.71,0,0,False,0,0,0,False,0.0,0,False,1.0
17,7,3,1655.7848,12976.67724,0,False,6.85e-06,0,False,1e-24,0.0286,0,False,0.63,-0.0096,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
18,7,1,1608.07,12977.11,0,False,0.0218,0,False,1e-24,0.03,0,False,0.63,-0.01078,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.006543,0,False,9.54017859
19,7,2,1704.1358,12977.58485,0,False,2.5900000000000003e-05,0,False,1e-24,0.0278,0,False,0.63,-0.0096,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
20,7,3,1654.0677,12978.39436,0,False,6.65e-06,0,False,1e-24,0.0286,0,False,0.63,-0.0095,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
21,7,1,1606.35,12978.82,0,False,0.0212,0,False,1e-24,0.03,0,False,0.63,-0.01058,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.00579,0,False,9.575509585
22,7,1,1574.5401,12979.65931,0,False,0.00182,0,False,1e-24,0.053,0,False,0.72,-0.0059,0,False,0.0,0,0,False,1,0.088709784,0,False,0.72,0,0,False,0,0,0,False,0.0,0,False,1.0
23,7,2,1611.5421,12981.57708,0,False,4.100000000000001e-05,0,False,1e-24,0.0286,0,False,0.63,-0.0096,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
24,7,1,1572.5838,12981.61569,0,False,0.00263,0,False,1e-24,0.053,0,False,0.72,-0.00645,0,False,0.0,0,0,False,1,0.088709784,0,False,0.72,0,0,False,0,0,0,False,0.0,0,False,1.0
25,7,3,1561.619,12982.45146,0,False,1.05e-05,0,False,1e-24,0.0294,0,False,0.63,-0.0095,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
26,7,2,1609.8182,12983.30102,0,False,3.9800000000000005e-05,0,False,1e-24,0.0286,0,False,0.63,-0.0095,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
27,7,3,1559.8935,12984.17691,0,False,1.0200000000000002e-05,0,False,1e-24,0.0294,0,False,0.63,-0.0094,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
28,7,1,1600.1301,12984.26721,0,False,0.00267,0,False,1e-24,0.0507,0,False,0.73,-0.0061,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
29,7,1,1598.1361,12986.26122,0,False,0.0034,0,False,1e-24,0.0507,0,False,0.73,-0.0071,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
30,7,2,1519.8867,12987.19458,0,False,6.21e-05,0,False,1e-24,0.0294,0,False,0.63,-0.0095,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
31,7,3,1470.1824,12988.13277,0,False,1.5900000000000004e-05,0,False,1e-24,0.0303,0,False,0.63,-0.0094,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
32,7,1,1637.0878,12988.47994,0,False,0.00313,0,False,1e-24,0.0491,0,False,0.74,-0.00615,0,False,0.0,0,0,False,1,0.082373371,0,False,0.74,0,0,False,0,0,0,False,0.0,0,False,1.0
33,7,1,1422.5,12988.72,0,False,0.0506,0,False,1e-24,0.03,0,False,0.63,-0.01056,0,False,5e-05,0,0,False,1,0.1,0,False,0.63,0,0,False,0,0,0,False,0.004168,0,False,8.078300568
34,7,2,1518.1547,12988.92663,0,False,6.0200000000000006e-05,0,False,1e-24,0.0294,0,False,0.63,-0.0094,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
