,Date,Time,Number of Jumps,FARS Point Number,Carrier Frequency /MHz,Sideband Frequency /MHz,Total Frequency /MHz,Real freq,Detuning,Mean tau/us,Mean tau/us offset,Mean tau/us corr,Mean tau/us corr offset,tau std. dev./us,tau rel. std. dev./%,Mean loss/ppm,f_rep/Hz,Temperature /C,Yokogawa Pressure Calib /Torr,Calculated Pressure /Torr,New Calculated Pressure /Torr,Yokogawa Pressure Offset /Torr,Yokogawa Pressure Read /Torr,dF / MHz,Actual PZT Voltage,Current /mA,Actual Current
0,3/8/2019,9:17:44 AM,0,1,237143507.3,-6616.4803,237136890.8,237136977.197,-6648.503037,38.51806077,38.5282994849,38.5895940953,38.5998708799,0.021735547,0.056429496,64.42995361,625.5230126,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.004517704,-0.436104906,175.0848435,176.829263124
1,3/8/2019,9:17:44 AM,0,2,237143507.3,-6415.0112,237137092.3,237137178.667,-6447.033248,38.51810113,38.5283398663,38.5896345737,38.5999113799,0.022001101,0.057118862,64.42988609,552.6802218,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.040516645,-0.436104906,175.0848435,176.829263124
2,3/8/2019,9:17:44 AM,0,3,237143507.3,-6213.5421,237137293.7,237137380.137,-6245.563459,38.52229729,38.5325382576,38.5938430414,38.6041220896,0.021043193,0.054626009,64.42286787,607.7235772,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.091523886,-0.436104906,175.0848435,176.829263124
3,3/8/2019,9:17:44 AM,0,4,237143507.3,-6012.073,237137495.2,237137581.606,-6044.09367,38.52579474,38.5360375674,38.5973507508,38.6076316678,0.020866959,0.054163604,64.41701943,624.217119,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.00148207,-0.436104906,175.0848435,176.829263124
4,3/8/2019,9:17:44 AM,0,5,237143507.3,-5810.6039,237137696.7,237137783.076,-5842.623881,38.53073782,38.5409832764,38.6023083324,38.6125918909,0.022905302,0.059446829,64.40875542,590.9090909,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.024186313,-0.436104906,175.0848435,176.829263124
5,3/8/2019,9:17:44 AM,0,6,237143507.3,-5609.1348,237137898.2,237137984.546,-5641.154092,38.54073779,38.5509885658,38.6123376452,38.6226265487,0.019623216,0.050915518,64.3920436,594.4333996,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.093938559,-0.436104906,175.0848435,176.829263124
6,3/8/2019,9:17:44 AM,0,7,237143507.3,-5407.6657,237138099.6,237138186.016,-5439.684303,38.54135994,38.5516110468,38.612961621,38.6232508571,0.020774343,0.053901426,64.39100416,617.768595,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.006328225,-0.436104906,175.0848435,176.829263124
7,3/8/2019,9:17:44 AM,0,8,237143507.3,-5206.1966,237138301.1,237138387.485,-5238.214514,38.55332487,38.5635823435,38.6249616702,38.6352573034,0.021809402,0.056569446,64.37102058,633.4745763,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,-0.186469734,-0.436104906,175.0848435,176.829263124
8,3/8/2019,9:17:44 AM,0,9,237143507.3,-5004.7275,237138502.6,237138588.955,-5036.744725,38.55527492,38.5655334313,38.6269174449,38.637214121,0.021256088,0.055131465,64.36776481,613.963039,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.119190127,-0.436104906,175.0848435,176.829263124
9,3/8/2019,9:17:44 AM,0,10,237143507.3,-4803.2584,237138704.0,237138790.425,-4835.274936,38.5544792,38.5647372878,38.6261193889,38.6364156394,0.021263141,0.055150896,64.36909329,598.0,22.91268698,260.0669251,260.107705072,260.112633549,0,260.07,0.105425596,-0.436104906,175.0848435,176.829263124
